otel-collector  | 2025-04-11T12:35:55.391Z	info	service@v0.120.0/service.go:193	Setting up own telemetry...
otel-collector  | 2025-04-11T12:36:24.191Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 15, "spans": 68}
otel-collector  | 2025-04-11T12:36:24.593Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 9, "spans": 15}
otel-collector  | 2025-04-11T12:36:24.795Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 4, "spans": 50}
otel-collector  | 2025-04-11T12:36:25.596Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 47, "data points": 108}
otel-collector  | 2025-04-11T12:36:26.199Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:26.602Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 29, "data points": 34}
otel-collector  | 2025-04-11T12:36:27.298Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 2}
otel-collector  | 2025-04-11T12:36:27.504Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:27.717Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 12, "log records": 70}
otel-collector  | 2025-04-11T12:36:28.208Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:28.740Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:28.948Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 5, "log records": 5}
otel-collector  | 2025-04-11T12:36:29.154Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 5, "log records": 5}
otel-collector  | 2025-04-11T12:36:29.790Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 9, "log records": 70}
otel-collector  | 2025-04-11T12:36:30.218Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:30.638Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 15}
otel-collector  | 2025-04-11T12:36:30.849Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 3, "log records": 3}
otel-collector  | 2025-04-11T12:36:31.058Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 2}
otel-collector  | 2025-04-11T12:36:31.529Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "72c9bb5afd86c2e9320336cb2104f1d9b7feb5edf59fa053bca6cf685d53de64", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver@v0.120.1/receiver.go:89
otel-collector  | 2025-04-11T12:36:31.535Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "7778a3677c7810016df365ae2ed6647876c8bd5aaf1ea147a5e5388fe89e1963", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver@v0.120.1/receiver.go:89
otel-collector  | 2025-04-11T12:36:31.535Z	error	scraperhelper@v0.120.0/obs_metrics.go:61	Error scraping metrics	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "error": "context canceled; context canceled", "errorCauses": [{"error": "context canceled"}, {"error": "context canceled"}]}
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.wrapObsMetrics.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/obs_metrics.go:61
otel-collector  | go.opentelemetry.io/collector/scraper.ScrapeMetricsFunc.ScrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper@v0.120.0/metrics.go:24
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.scrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:256
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.NewMetricsController.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:228
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.(*controller[...]).startScraping.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:175
otel-collector  | 2025-04-11T12:36:31.625Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 23, "metrics": 299, "data points": 326}
otel-collector  | 2025-04-11T12:36:32.228Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:32.235Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 11, "spans": 55}
otel-collector  | 2025-04-11T12:36:32.436Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 19, "spans": 385}
otel-collector  | 2025-04-11T12:36:33.039Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 2, "spans": 74}
otel-collector  | 2025-04-11T12:36:33.442Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 5}
otel-collector  | 2025-04-11T12:36:34.046Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 5, "spans": 25}
otel-collector  | 2025-04-11T12:36:34.238Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:34.248Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 15, "spans": 80}
otel-collector  | 2025-04-11T12:36:34.449Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 8, "spans": 36}
otel-collector  | 2025-04-11T12:36:34.650Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 8, "spans": 20}
otel-collector  | 2025-04-11T12:36:35.052Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 2, "spans": 89}
otel-collector  | 2025-04-11T12:36:35.446Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 47, "data points": 108}
otel-collector  | 2025-04-11T12:36:35.454Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 6, "spans": 30}
otel-collector  | 2025-04-11T12:36:36.248Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:36.451Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 29, "data points": 34}
otel-collector  | 2025-04-11T12:36:37.634Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 17}
otel-collector  | 2025-04-11T12:36:37.841Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 4, "log records": 4}
otel-collector  | 2025-04-11T12:36:38.061Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 31}
otel-collector  | 2025-04-11T12:36:38.247Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 5, "log records": 5}
otel-collector  | 2025-04-11T12:36:38.454Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 2}
otel-collector  | 2025-04-11T12:36:38.681Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 53}
otel-collector  | 2025-04-11T12:36:39.705Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 8, "log records": 19}
otel-collector  | 2025-04-11T12:36:39.926Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:40.076Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:40.176Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:40.481Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 2}
otel-collector  | 2025-04-11T12:36:40.697Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 38}
otel-collector  | 2025-04-11T12:36:41.685Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 25, "metrics": 325, "data points": 354}
otel-collector  | 2025-04-11T12:36:42.089Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:42.495Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 2, "spans": 388}
otel-collector  | 2025-04-11T12:36:43.699Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 6, "spans": 30}
otel-collector  | 2025-04-11T12:36:43.901Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 13, "spans": 45}
otel-collector  | 2025-04-11T12:36:44.098Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:44.101Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 8, "spans": 87}
otel-collector  | 2025-04-11T12:36:44.302Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 10, "spans": 76}
otel-collector  | 2025-04-11T12:36:44.504Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 5}
otel-collector  | 2025-04-11T12:36:44.704Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 10, "spans": 30}
otel-collector  | 2025-04-11T12:36:44.905Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 9, "spans": 41}
otel-collector  | 2025-04-11T12:36:45.105Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 2, "spans": 114}
otel-collector  | 2025-04-11T12:36:45.306Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 2, "spans": 40}
otel-collector  | 2025-04-11T12:36:45.507Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 47, "data points": 108}
otel-collector  | 2025-04-11T12:36:46.110Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:46.513Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 29, "data points": 34}
otel-collector  | 2025-04-11T12:36:47.717Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 9, "log records": 50}
otel-collector  | 2025-04-11T12:36:48.125Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:48.325Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:48.737Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 8, "log records": 46}
otel-collector  | 2025-04-11T12:36:48.943Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 5, "log records": 5}
otel-collector  | 2025-04-11T12:36:49.148Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:49.776Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 7, "log records": 53}
otel-collector  | 2025-04-11T12:36:50.131Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:50.391Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 1}
otel-collector  | 2025-04-11T12:36:50.604Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 16}
otel-collector  | 2025-04-11T12:36:50.828Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 7, "log records": 33}
otel-collector  | 2025-04-11T12:36:51.237Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 8}
otel-collector  | 2025-04-11T12:36:51.501Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "f7227c4867abdb072afd19c212b5a3f9fa66104410913de339737f422d79389f", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver@v0.120.1/receiver.go:89
otel-collector  | 2025-04-11T12:36:51.502Z	error	scraperhelper@v0.120.0/obs_metrics.go:61	Error scraping metrics	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "error": "context canceled"}
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.wrapObsMetrics.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/obs_metrics.go:61
otel-collector  | go.opentelemetry.io/collector/scraper.ScrapeMetricsFunc.ScrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper@v0.120.0/metrics.go:24
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.scrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:256
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.NewMetricsController.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:228
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.(*controller[...]).startScraping.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:175
otel-collector  | 2025-04-11T12:36:51.540Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 24, "metrics": 312, "data points": 340}
otel-collector  | 2025-04-11T12:36:52.143Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:52.547Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 5}
otel-collector  | 2025-04-11T12:36:52.950Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 39}
otel-collector  | 2025-04-11T12:36:53.755Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 308}
otel-collector  | 2025-04-11T12:36:53.755Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 17, "data points": 43}
otel-collector  | 2025-04-11T12:36:54.160Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 6, "spans": 46}
otel-collector  | 2025-04-11T12:36:54.160Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 5, "data points": 37}
otel-collector  | 2025-04-11T12:36:54.361Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 17, "spans": 65}
otel-collector  | 2025-04-11T12:36:54.561Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 19, "spans": 62}
otel-collector  | 2025-04-11T12:36:54.762Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 3, "spans": 6}
otel-collector  | 2025-04-11T12:36:54.963Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 1, "spans": 25}
otel-collector  | 2025-04-11T12:36:55.164Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 2, "metrics": 20, "data points": 26}
otel-collector  | 2025-04-11T12:36:55.164Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 3, "spans": 156}
otel-collector  | 2025-04-11T12:36:55.364Z	info	Traces	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "traces", "resource spans": 3, "spans": 15}
otel-collector  | 2025-04-11T12:36:55.364Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 7, "data points": 17}
otel-collector  | 2025-04-11T12:36:55.565Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 19, "metrics": 83, "data points": 340}
otel-collector  | 2025-04-11T12:36:55.766Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 26, "data points": 33}
otel-collector  | 2025-04-11T12:36:55.967Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 23, "data points": 462}
otel-collector  | 2025-04-11T12:36:56.486Z	error	scraperhelper@v0.120.0/obs_metrics.go:61	Error scraping metrics	{"otelcol.component.id": "hostmetrics", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "error": "failed to read usage at /hostfs/oldroot: no such file or directory"}
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.wrapObsMetrics.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/obs_metrics.go:61
otel-collector  | go.opentelemetry.io/collector/scraper.ScrapeMetricsFunc.ScrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper@v0.120.0/metrics.go:24
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.scrapeMetrics
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:256
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.NewMetricsController.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:228
otel-collector  | go.opentelemetry.io/collector/scraper/scraperhelper.(*controller[...]).startScraping.func1
otel-collector  | 	go.opentelemetry.io/collector/scraper/scraperhelper@v0.120.0/controller.go:175
otel-collector  | 2025-04-11T12:36:57.842Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 2, "log records": 2}
otel-collector  | 2025-04-11T12:36:58.453Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 2}
otel-collector  | 2025-04-11T12:36:58.668Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 10, "log records": 43}
otel-collector  | 2025-04-11T12:36:59.687Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 8, "log records": 18}
otel-collector  | 2025-04-11T12:36:59.903Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 5, "log records": 5}
otel-collector  | 2025-04-11T12:37:00.111Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 6, "log records": 23}
otel-collector  | 2025-04-11T12:37:00.193Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 2, "metrics": 110, "data points": 188}
otel-collector  | 2025-04-11T12:37:00.394Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 3, "data points": 20}
otel-collector  | 2025-04-11T12:37:00.517Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 16}
otel-collector  | 2025-04-11T12:37:00.594Z	info	Metrics	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "metrics", "resource metrics": 1, "metrics": 23, "data points": 465}
otel-collector  | 2025-04-11T12:37:00.730Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 9, "log records": 63}
otel-collector  | 2025-04-11T12:37:01.143Z	info	Logs	{"otelcol.component.id": "debug", "otelcol.component.kind": "Exporter", "otelcol.signal": "logs", "resource logs": 1, "log records": 7}
otel-collector  | 2025-04-11T12:37:01.518Z	error	docker@v0.120.1/docker.go:194	Could not parse docker containerStats for container id	{"otelcol.component.id": "docker_stats", "otelcol.component.kind": "Receiver", "otelcol.signal": "metrics", "id": "efd67ef76bab6cee0dab66f590441c5b6d35a1f87572da9671353bad24c128b2", "error": "context canceled"}
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).toStatsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:194
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker.(*Client).FetchContainerStatsAsJSON
otel-collector  | 	github.com/open-telemetry/opentelemetry-collector-contrib/internal/docker@v0.120.1/docker.go:144
otel-collector  | github.com/open-telemetry/opentelemetry-collector-contrib/receiver/dockerstatsreceiver.(*metricsReceiver).scrapeV2.func1
